source,target,code,order,notes
/about/hmcts,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service,301,800,Pages redirect
/contacts/moj/press-office,https://www.gov.uk/government/organisations/ministry-of-justice,301,800,Pages redirect
/courts,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service,301,800,Pages redirect
/courts/fees/payment-by-account,https://www.gov.uk/government/publications/form-fee-account-application-form-fee-account-customer-application-form,301,800,Pages redirect
/courts/procedure-rules/,/courts/procedure-rules,301,800,Pages redirect
/courts/procedure-rules/civil/pdf/protocols/pre-action-protocol-for-debt-claims.pdf,/courts/procedure-rules/civil/pdf/protocols/debt-pap.pdf,301,800,Pages redirect
/courts/procedure-rules/criminal,https://www.gov.uk/guidance/announcements-from-the-criminal-procedure-rule-committee,301,800,Pages redirect
/courts/procedure-rules/other-procedure-rules-for-magistrates-courts-and-the-crown-court,https://www.gov.uk/guidance/updates-on-other-procedure-rules-for-magistrates-courts-and-the-crown-court,301,800,Pages redirect
/courts/rcj-rolls-building/admiralty-commercial-mercantile-courts,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service/about,301,800,Pages redirect
/courts/rcj-rolls-building/chancery-division,https://www.gov.uk/courts-tribunals/chancery-division-of-the-high-court,301,800,Pages redirect
/courts/rcj-rolls-building/patents-court,https://www.gov.uk/courts-tribunals/patents-court,301,800,Pages redirect
/courts/rcj-rolls-building/queens-bench/guidance,https://www.gov.uk/courts-tribunals/kings-bench-division-of-the-high-court,301,800,Pages redirect
/courts/rcj-rolls-building/technology-and-construction-court,https://www.gov.uk/courts-tribunals/technology-and-construction-court,301,800,Pages redirect
/forms/hmcts,https://www.gov.uk/government/collections/court-and-tribunal-forms,301,800,Pages redirect
/legal-aid,https://www.gov.uk/government/organisations/legal-aid-agency,301,800,Pages redirect
/legal-aid-for-private-family-matters,https://www.gov.uk/legal-aid/domestic-abuse-or-violence,301,800,Pages redirect
/offenders,https://www.gov.uk/government/organisations/hm-prison-and-probation-service,301,800,Pages redirect
/privacy/community-legal-advice-privacy-statement,https://www.gov.uk/civil-legal-advice,301,800,Pages redirect
/publications/research-and-analysis/moj/2011/social-impact-hmp-peterborough,https://www.gov.uk/government/publications/social-impact-bond-at-hmp-peterborough,301,800,Pages redirect
